file,parse_ok,ver_sw,sys_name,hw,sys_autostart,mav_type,ekf2_en,n_topics,has_position,src_position,has_attitude,src_attitude,has_status,src_status,has_imu,src_imu,has_actuator,src_actuator,has_att_sp,src_att_sp,has_rates_sp,src_rates_sp,has_battery,src_battery,has_ekf_ratios,src_ekf_ratios,has_ekf_innov,src_ekf_innov,has_land_det,src_land_det,rate_vehicle_local_position,rate_ok_vehicle_local_position,rate_vehicle_attitude,rate_ok_vehicle_attitude,duration_s,duration_ok,dropout_frac,dropout_ok,airborne_src,airborne_s,airborne_ok,n_errors,topics_ok,rates_ok,SURVIVES,log_id,db_duration_s,db_mav_type,db_date
39f79371-fb9a-4d6a-a862-2fe29ef8e6d8.ulg,True,17367807,PX4,PX4_FMU_V4PRO,4001,2,,30,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_status(legacy),True,estimator_status,True,vehicle_land_detected,9.8,True,31.6,True,76.9,True,0.0,True,land_detected,74.7,True,2,True,True,True,39f79371-fb9a-4d6a-a862-2fe29ef8e6d8,76,Quadrotor,2019-09-29
1270d499-1352-4db7-8b05-b8ee4d7e11a5.ulg,True,17694720,PX4,DROTEK_IO_STAR,4990,2,,71,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,595.7,True,0.0,True,land_detected,593.6,True,0,True,True,True,1270d499-1352-4db7-8b05-b8ee4d7e11a5,595,Quadrotor,2024-02-07
a89dcfa2-5a7a-4f63-83b8-65950c142f63.ulg,True,17630207,PX4,PX4_FMU_V6C,4001,2,,71,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_outputs,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,137.0,True,0.0,True,land_detected,135.4,True,0,True,True,True,a89dcfa2-5a7a-4f63-83b8-65950c142f63,137,Quadrotor,2023-12-18
84c7cb1c-2d7b-4ec2-be0e-e3a7e4c5eba5.ulg,True,17760256,PX4,PX4_FMU_V6XRT,4019,2,1,70,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,202.5,True,193.2,True,0.0025,True,land_detected,186.1,True,0,True,True,True,84c7cb1c-2d7b-4ec2-be0e-e3a7e4c5eba5,193,Quadrotor,2024-09-08
833be950-8ecc-486e-9355-b18bc70c624b.ulg,True,17760384,PX4,PX4_FMU_V6C,4500,2,1,93,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,888.2,True,0.0,True,land_detected,126.3,True,2,True,True,True,833be950-8ecc-486e-9355-b18bc70c624b,888,Quadrotor,2025-01-30
b056f9e2-127d-4ed9-bf0d-a6a16ea1039c.ulg,True,17826047,PX4,CUBEPILOT_CUBEORANGEPLUS,4101,2,1,82,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,107.6,True,0.005,True,land_detected,95.8,True,0,True,True,True,b056f9e2-127d-4ed9-bf0d-a6a16ea1039c,107,Quadrotor,2026-04-13
260c9d48-8083-43f9-b6fa-d10e4779d371.ulg,True,17629951,PX4,CUAV_X7PRO,4001,2,,74,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,210.0,True,0.0,True,land_detected,207.5,True,0,True,True,True,260c9d48-8083-43f9-b6fa-d10e4779d371,210,Quadrotor,2024-05-31
3ffdb985-47cc-4fd1-9569-1b4487eca695.ulg,True,17761280,PX4,PX4_FMU_V6X,4001,2,1,77,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,135.8,True,0.0,True,land_detected,130.6,True,0,True,True,True,3ffdb985-47cc-4fd1-9569-1b4487eca695,135,Quadrotor,2025-08-10
7d34c9ff-e489-4f66-848e-b98dc011fc13.ulg,True,17760511,PX4,CZI_CZ100,4001,2,,94,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,9.9,True,197.8,True,181.3,True,0.0091,True,land_detected,79.6,True,5,True,True,True,7d34c9ff-e489-4f66-848e-b98dc011fc13,181,Quadrotor,2026-04-21
cbd01ba9-2765-4f13-b89e-97bea145e926.ulg,True,17761535,PX4,PX4_FMU_V5,4001,2,1,71,True,vehicle_local_position,True,vehicle_attitude,True,vehicle_status,True,sensor_combined,True,actuator_motors,True,vehicle_attitude_setpoint,True,vehicle_rates_setpoint,True,battery_status,True,estimator_innovation_test_ratios,True,estimator_innovations,True,vehicle_land_detected,10.0,True,20.0,True,70.5,True,0.0,True,land_detected,66.0,True,4,True,True,True,cbd01ba9-2765-4f13-b89e-97bea145e926,70,Quadrotor,2025-07-15
