log_id,ver_sw,band,n_varying
78a31767-c2b7-4452-a57d-7d182c9163b9,17826047,v1.17+,8
5e0b5bdf-f8a0-4ebf-80da-ee28462eccc3,17564416,v1.14-1.15,9
1ae9a44d-9e7b-40a9-868d-8e7c137d560f,17694976,v1.16,5
f7b8dbf0-2246-4309-89af-651b3a7cad44,17826559,v1.17+,11
2ef6928b-4681-4cb5-938e-873cb9cfb4ab,17629440,v1.16,3
3edad3fe-9981-4232-a9c9-020a4e8571f8,17694720,v1.16,6
701124d6-3590-4e68-8f3a-6d691d8d9833,17695488,v1.16,7
ff9cc077-ea7f-40e3-9015-980aeb1259a6,17695743,v1.16,7
62d81297-e124-44dd-a4c7-a67950481eb0,17694975,v1.16,3
21409aa7-7acd-4bd0-88e0-612955c65dcb,16784128,,8
8ff43adb-ae04-4434-9a59-4ddbc1d91d2a,17761535,v1.17+,14
71d01ed7-fb5f-499c-ac0d-758bcd2aedbc,17629184,v1.16,8
ed2b995e-0875-4297-be52-0dada226d18e,17761023,v1.17+,10
455871a0-f9dd-48d4-86a9-d881fd854408,17825792,v1.17+,14
3e4468bf-a660-49d7-9f11-e1efd67de762,17629696,v1.16,8
01072d3d-317e-47f9-bb62-39154d4c0d12,17629440,v1.16,9
e23863c7-b7e1-41c2-8783-8480d70fdb4d,17826240,v1.17+,14
0fca5086-962d-4cd1-a4d6-c8e3dcc0bff3,17694720,v1.16,7
7060663f-bc1f-4a11-aafe-2f7f3ec8ef0f,17694720,v1.16,7
b9f47d53-0557-4028-a9e6-140678a55331,17761535,v1.17+,8
e3a5dee7-7ba4-4028-a3d9-84e5a2359157,17695488,v1.16,7
6c205af1-5c99-4c5b-a720-349deb9a73a5,17695488,v1.16,5
b43e3889-e2ab-4eba-8290-d4441167c642,17695743,v1.16,12
37395627-3b0a-4ccd-a3ed-73d08fb04b30,17630207,v1.16,5
d51500bb-df78-49d5-be55-b54fa7bfa9eb,17629952,v1.16,6
09ddc00e-3f4f-4972-b387-6cc344b7767a,17695743,v1.16,7
0e75c04f-5481-47c0-921e-9452581e3317,17694720,v1.16,2
943685d0-71e7-46a1-8295-a8ef191fd060,17629952,v1.16,7
ea9fe938-c7be-4ed5-918d-37ad5ea9948e,17629184,v1.16,5
6beb40a6-9a05-43f8-9e41-14462b394b48,17630207,v1.16,8
bd379fb6-6705-4e4f-a385-63738e96d2fc,17694720,v1.16,6
b077b4df-d615-41b9-9e2f-2cecb6101a2a,17761023,v1.17+,10
12bc8745-273c-47be-bb41-a6cc86b67f48,17761535,v1.17+,8
756ea3a9-e513-48ee-9a64-1307ceb09e77,17629440,v1.16,3
1cbdcda4-2b09-4f51-9e0d-3d32a9a5b605,17629696,v1.16,8
6062df79-6506-4b74-941c-9a52d2b6dde3,17761535,v1.17+,14
68e2abf5-40ad-493e-a1cd-c5f315bd6d75,17695743,v1.16,7
7c3c78bf-98d0-4b64-8742-52ea345caf7c,17629184,v1.16,7
c38d80e6-b644-4e29-8ae4-7c0b1a729b9b,17760511,v1.17+,14
5a37368c-bf82-499c-ba12-333a768a79e9,17760768,v1.17+,14
e77bda16-ff1d-4c16-94e4-12db1319de40,17694720,v1.16,6
2b8fec61-303b-48e8-9ee1-d0e15e90b198,17761280,v1.17+,10
75db46b5-2c89-4ebc-9f76-3be8752e84b1,17760320,v1.17+,10
ca50f849-4496-4df2-a17f-225e01ca8eeb,17629952,v1.16,6
48f58c4c-3547-418f-b5df-1a7928f973f3,17563648,v1.14-1.15,2
b2872829-f751-44f1-b659-4f1ba120ef06,17695488,v1.16,2
8dbfcd29-a6dd-4dbe-959f-04466f96b8cf,17891392,v1.17+,14
3cb9b339-13c8-4dff-b9b3-f3ade29477f2,17825792,v1.17+,14
763e9c99-4e28-4edd-a5ca-6d1bb6eb59d0,17760768,v1.17+,8
ba6bb394-3f82-4321-911e-dbe9cbeb8188,17760256,v1.17+,18
437231f1-bebb-49d6-8108-d14385c5306e,17760256,v1.17+,11
e4727ec6-c8c0-4c5f-bc85-817a588736d5,17891583,v1.17+,13
d93bb9c7-b56f-40ad-a6a4-43265eedc808,17825984,v1.17+,19
e2b0d803-d4a8-4a3c-9905-ce30c7100900,17694720,v1.16,8
4b728cae-a733-4af1-b105-85330933824d,17760384,v1.17+,14
4cf86095-7fc2-490c-a225-7d0d127cebd4,17825984,v1.17+,14
dded9d9f-1b32-4337-9645-8b38905d2361,17760256,v1.17+,17
28815960-9240-400f-8d8f-e5fe8ee27bfb,17761088,v1.17+,9
d7f4393c-236c-4751-adda-48a2d9da117e,17761280,v1.17+,11
17b4d135-4eed-4bad-83de-92f6f676dfa6,17761535,v1.17+,14
742013a2-6049-4836-8581-4e62671fb236,34340864,v1.17+,9
64207573-fb0f-4e1d-a003-43cdc416e9a2,17761280,v1.17+,17
de987981-315f-40b7-8791-02eca130161a,17629952,v1.16,5
3c060172-6262-411e-966c-13410bfbb39f,255,,17
306396e8-a623-4bd7-b43d-004f4562aa0e,17826240,v1.17+,14
46096a23-5c84-4e2b-8d0c-3867e0a0736c,17761535,v1.17+,14
3de2a435-f38e-44bc-b3f3-c4b01a155aa5,17694720,v1.16,2
899b3722-4689-4c40-9853-9210ec3af288,17761280,v1.17+,11
e70aede2-14b3-476f-90cf-7cecaf8ddf0d,17760256,v1.17+,14
dac37bdc-8582-4a43-a703-cfc5c007fa93,17629951,v1.16,3
d7672df4-6181-46f7-9b64-b665462aaae3,17761535,v1.17+,4
5512ef0c-80d4-4b78-a39c-29aaa6bdd894,17760256,v1.17+,10
8a164b66-c5b3-41bb-81fa-ffbaa0f76da4,17825984,v1.17+,15
97b49efd-acb8-4e96-8693-9333d884fe95,17695488,v1.16,6
d614a98a-3f53-4ca1-a6e5-fbdecb5be1ff,17564416,v1.14-1.15,6
4ee84468-eb51-413b-916d-766222095a53,17694720,v1.16,7
35e07f34-1be4-4835-b1f6-e1c1896b766d,17761280,v1.17+,21
d1452572-304e-407b-b41d-4afc02d64b5e,17761280,v1.17+,10
97755ef9-7677-4d21-a4da-c024f07db660,16781056,,14
91e4ef27-abf6-4c52-a494-3e87b1c6671a,17761023,v1.17+,10
059a6e48-5383-4fd0-9f4c-5d466903547e,17629440,v1.16,3
b5f3e7ab-67b3-4102-a1b0-27ad7fda324b,17761280,v1.17+,11
78ae1e8f-ba71-4ddc-959b-a99f9e2f1b18,17498240,v1.14-1.15,11
c5536006-4b1c-4e11-b9eb-dcc9ea3216cc,17630207,v1.16,6
a8898b23-7c46-4348-a6f0-dbd72da5f530,17565184,v1.14-1.15,7
72422680-9ec1-4e44-b917-94d173e79ef6,17564416,v1.14-1.15,6
d814cb1e-fb02-46d8-84c2-1d08cb6c6c08,17826559,v1.17+,9
40128909-54b1-41c5-8545-3a94561f3f23,18286080,v1.17+,9
64575404-4b01-401b-abf1-56c0a036d345,17956928,v1.17+,14
2eeb3b17-6d2a-4606-ab8a-e5a9d3849413,17825792,v1.17+,8
f9041f38-51cd-4809-b365-35b3dc91a68a,17630207,v1.16,6
2b4abe8f-9536-4494-b42a-aa3f84715e03,17564416,v1.14-1.15,6
bc4fbd48-3ff5-4132-a624-ab9d966a887b,17760511,v1.17+,12
